role,name,team,buyPrice,startingFCPrice,actualFCPrice
Por,Rui Patricio,ALoT,1,1.0,1.0
Por,Maignan,ALoT,14,15.0,15.0
Por,Carnesecchi,ALoT,4,13.0,14.0
B;Ds;E,Masina,ALoT,5,7.0,10.0
E,Spinazzola,ALoT,15,12.0,6.0
B;Dd;E,Darmian,ALoT,10,9.0,14.0
Dc,Rrahmani,ALoT,15,11.0,13.0
Dc,Pavlovic,ALoT,15,10.0,8.0
B;Dd;Ds,Godfrey *,ALoT,12,9.0,1.0
E,Ruggeri,ALoT,11,10.0,10.0
E,Dumfries,ALoT,5,15.0,22.0
Ds;Dc,Vasquez,ALoT,4,10.0,6.0
Dd;Dc,Kossounou,ALoT,4,10.0,6.0
C;T,Zielinski,ALoT,12,11.0,15.0
M;C,Cristante,ALoT,11,10.0,9.0
M;C,Fofana Y.,ALoT,5,9.0,13.0
W;A,Chukwueze,ALoT,20,10.0,8.0
W,Saelemaekers,ALoT,3,5.0,15.0
M;C,Marin,ALoT,8,6.0,15.0
M;C,McKennie,ALoT,2,8.0,14.0
M;C,Asllani,ALoT,3,6.0,8.0
W;T;A,Oristanio,ALoT,5,10.0,17.0
Pc,Martinez L.,ALoT,164,42.0,31.0
A,Raspadori,ALoT,1,12.0,4.0
A,De Ketelaere,ALoT,23,21.0,24.0
A,Okafor,ALoT,32,11.0,7.0
W;A,Isaksen,ALoT,2,12.0,13.0
Pc,Taremi,ALoT,22,14.0,7.0
Skinhead Club de futbol,,Crediti Residui: 26,,,
Ruolo,Calciatore,Crediti Residui: 26,Costo,,
Por,Falcone,Crediti Residui: 26,4,9.0,10.0
Por,Montipo',Crediti Residui: 26,1,7.0,4.0
Por,Di Gregorio,Crediti Residui: 26,40,17.0,14.0
Dc,Acerbi,Crediti Residui: 26,20,10.0,6.0
Dc,Djimsiti,Crediti Residui: 26,15,8.0,4.0
Dc,Palomino,Crediti Residui: 26,1,5.0,5.0
Dd;Ds;E,Marusic,Crediti Residui: 26,1,7.0,7.0
Dd;E,Lazzari,Crediti Residui: 26,6,5.0,7.0
Dc,N'Dicka,Crediti Residui: 26,14,8.0,8.0
Ds;E,Gallo,Crediti Residui: 26,6,5.0,6.0
B;Dd;Ds,Emerson Royal,Crediti Residui: 26,10,12.0,6.0
Dd;Dc,Kalulu,Crediti Residui: 26,5,5.0,11.0
Ds;E,Tavares N.,Crediti Residui: 26,3,6.0,17.0
Dc,Gatti,Crediti Residui: 26,15,7.0,12.0
Dd;Ds;E,Birindelli,Crediti Residui: 26,1,5.0,8.0
Dd;Ds;E,Coulibaly W. *,Crediti Residui: 26,1,2.0,3.0
C;T,Kastanos,Crediti Residui: 26,3,4.0,8.0
C,Mkhitaryan,Crediti Residui: 26,26,14.0,15.0
M;C,Lobotka,Crediti Residui: 26,10,10.0,9.0
T;A,Maldini,Crediti Residui: 26,10,8.0,11.0
M;C,Brescianini,Crediti Residui: 26,24,5.0,12.0
C,Ilic,Crediti Residui: 26,7,7.0,9.0
T;A,Baldanzi,Crediti Residui: 26,4,8.0,9.0
C;T,Fazzini,Crediti Residui: 26,1,4.0,9.0
C,Payero,Crediti Residui: 26,1,7.0,6.0
Pc,Morata,Crediti Residui: 26,100,26.0,21.0
Crediti Residui: 32,,Pc,,,
,,Pc,,,
Morocco gang,,Pc,,,
Ruolo,Calciatore,Pc,Costo,,
Crediti Residui: 500,,Pc,,,
,,Pc,,,
,,Pc,,,
,,Pc,,,
,,Pc,,,
,,Pc,,,
,,Pc,,,
,,Pc,,,
,,Pc,,,
,,Pc,,,
,,Pc,,,
,,Pc,,,
,,Pc,,,
,,Pc,,,
,,Pc,,,
,,Pc,,,
,,Pc,,,
,,Pc,,,
,,Pc,,,
,,Pc,,,
,,Pc,,,
,,Pc,,,
,,Pc,,,
,,Pc,,,
,,,,,
,,,,,
,,,,,
UBS un bè scarsi,,,,,
Ruolo,Calciatore,,Costo,,
Por,Milinkovic-Savic V.,,4,10.0,17.0
Por,Okoye,,6,7.0,6.0
Por,Suzuki,,2,7.0,9.0
Ds;Dc,Barba *,,1,1.0,2.0
Dc,Romagnoli,,10,10.0,5.0
Dc,Bani,,2,7.0,5.0
Ds;E,Augello,,4,5.0,8.0
Ds;E,Angelino,,10,10.0,10.0
Dc,Mari',,4,7.0,6.0
E,Mazzocchi,,4,4.0,2.0
Dd;Ds;E,Kayode *,,8,6.0,1.0
Dc,Gaspar K.,,1,3.0,8.0
B;Ds;E,Sverko,,1,5.0,6.0
W,Politano,,21,23.0,14.0
M;C,Freuler,,12,10.0,14.0
C,Barella,,45,19.0,26.0
C;T,Pasalic,,20,15.0,11.0
C;W,Messias,,10,9.0,4.0
M;C,Ricci S.,,1,9.0,11.0
W;T,Harroui,,14,13.0,8.0
W,Tchaouna,,1,9.0,5.0
C,Reijnders,,15,11.0,22.0
Pc,Zapata D.,,65,25.0,20.0
Pc,Vitinha O.,A,15,11.0,6.0
Pc,Castellanos,A,75,21.0,25.0
A,Adams C.,A,10,15.0,22.0
Crediti Residui: 15,,A,,,
,,A,,,
Belkai du Guarana,,A,,,
Ruolo,Calciatore,A,Costo,,
Por,Paleari,A,1,1.0,1.0
Por,Ryan *,A,1,1.0,1.0
Por,Svilar,A,17,13.0,13.0
B;Ds;E,Biraghi,A,5,8.0,5.0
E,Gosens,A,8,12.0,15.0
Dc,Buongiorno,A,28,16.0,16.0
Dc,Bremer,A,11,16.0,8.0
Dd;Dc,Pavard,A,23,15.0,7.0
B;Dd;Ds,Danilo,A,14,16.0,8.0
E,Bellanova,A,20,12.0,12.0
Dd;E,Dodo',A,1,9.0,11.0
Dc,Hien,A,1,8.0,7.0
C;T,Frattesi,A,20,17.0,17.0
T,Samardzic,A,16,16.0,18.0
C,Sohm,A,1,4.0,14.0
W;A,Man,A,41,18.0,21.0
M;C,Thuram K.,A,7,12.0,19.0
W,Ndoye,A,1,9.0,21.0
T,Koopmeiners,A,33,28.0,16.0
E;M,Frendrup,A,15,13.0,12.0
M;C,Ederson D.s.,A,85,18.0,17.0
A,Thauvin,W;A,2,10.0,21.0
Pc,Thuram,W;A,101,30.0,40.0
A,Kvaratskhelia *,W;A,91,30.0,26.0
A,Noslin,W;A,11,16.0,13.0
Pc,Bonny,W;A,1,7.0,15.0
Crediti Residui: 4,,W;A,,,
Por,Provedel,Enju City Suns,1,12.0,10.0
Por,Joronen,Enju City Suns,1,6.0,2.0
Por,Turati,Enju City Suns,1,8.0,12.0
Dc,Mina,Enju City Suns,9,8.0,8.0
Dc,Svoboda,Enju City Suns,2,4.0,6.0
B;Ds;E,Cabal,Enju City Suns,11,6.0,5.0
Dc,Wieteska *,Enju City Suns,1,3.0,2.0
Dc,Giannetti L.,Enju City Suns,1,4.0,3.0
Dc,Coco,Enju City Suns,13,8.0,8.0
B;Dd;E,Savona,Enju City Suns,1,1.0,13.0
W,Lazovic,Enju City Suns,3,9.0,13.0
W,Orsolini,Enju City Suns,67,21.0,28.0
C,Guendouzi,Enju City Suns,5,9.0,12.0
M;C,Duda,Enju City Suns,5,8.0,6.0
M;C,Nicolussi Caviglia,Enju City Suns,1,1.0,17.0
W,Gyasi,Enju City Suns,1,5.0,13.0
W;T,Da Cunha,Enju City Suns,1,12.0,10.0
M;C,Kone' M.,Enju City Suns,1,9.0,16.0
M;C,Prati,Enju City Suns,5,5.0,1.0
